  COMPANY NAME, MOBILE,MAIL,WEBSITE,ADRESS,,
Tele Musketeers,1707082423,operations@telemusketeers.com,www.telemusketeers.com,"476/C, Zahir Mansion, Malibag DIT Road, Dhaka, 1219",,
Teleconsult Group,1683786330,info@tcg.com.bd,www.tcg.com.bd,"House# 1, Road# 15 (New), 28 (Old), Dhanmondi, Dhaka-1209",,
Telehawks Solutions,8.80192E+12,telehawks.solutions@gmail.com,www.telehawks.com,"202/C Hazi Solim Uddin Lane, Badda, Dhaka-1212",,
Teleserv,880 1791 680 236,hello@teleservbpo.com,http://www.teleservbpo.com/,"Suite-B4, Plot-15, Main Road-03, Block-A, Mirpur-11, Dhaka-1216, Bangladesh",,
Test Company,8.80131E+12,test@mail.com, ,Address of Test Company 33,,
Thane Systems,+8802 8838001-4,info@btraccl.com,www.btraccl.com,"Plot# 68 (3rd Floor), Road# 11, Block# H, Bir Uttam Khademul Bashar Road, Banani, Dhaka-1213",,
The Address of Accountants (AOA),88-02-55130556-57,mmc@bol-online.com, ,"Rupayan Karim Tower, Level-09, Suit-B, 80, VIP Road, Kakrail, Dhaka-1000",,
The Everest IT,1776057078,theeverestit@gmail.com,https://theeverestitbd.com/,"888/1, hazi ashraf ali market, East shewrapara, kafrul, dhaka",,
THE KOW COMPANY LIMITED,1755601370,ak@thekowcompany.com,www.thekowcompany.com,"Navana DH Tower (2nd Floor) Plot-6 Panthapath Tejgaon, Dhaka 1215",,
THE SOFTKING LIMITED,1716441700,rifat@thesoftking.com,www.thesoftking.com,"House: 60, Road: 20, Sector: 11, Uttara, Dhaka 1230",,
TICON SYSTEM LIMITED,1777174791,info@ticonsys.com,www.ticonsys.com,"LEVEL# 06, HOUSE OF VERITAS, 8 GAREEB-E-NEWAZ AVENUE, SECTOR# 13, UTTARA, DHAKA- 1230",,
Times ASL Call Center Limited,222223512-13,info@timesasl.com,www.timesasl.com,"City Heart 4th floor, 67 NayaPaltan, Dhaka",,
TRAVOJET,9.63944E+20,admin@travojet.com,www.travojet.com,"Section # 12, Block # D, Road # 06, Plot # I/15-18, Pallabi, Mirpur",,
Trust Global Communications,8.80171E+12,trustglobalcommunications@gmail.com,www.trustglobalcommunications.com,"Chattogram Software Technology Park, Level # 10, Agrabad, Chattogram",,
TRY Solutions,8.80171E+12,support@trysolutions.us,trysolutions.us,"House - 29, Suite: 6, Road - 13, Sector - 14, Uttara",,
UKBS BD LIMITED,1864589945,ukbs2017@gmail.com, ,"House-2, Road No- 35, Block- D, Shahajalal Upashahar, Sylhet",,
Unified Information Technology Limited,1711958087,info@unified.xyz,www.unifiedit.xyz,"PBL Tower ( 12th Floor), 17 Gulshan North C/A, Dhaka, 1212, Bangladesh",,
Unique Consortium Ltd.,+880258157939 01711871990,uniqueconsortiumbd@gmail.com,http://uniqueconsortium.com,"55/D, 2nd Floor, R-9/A, Dhanmondi, Dhaka-1209",,
United Multimedia Skill Development Technology Ltd.,1829077648,umsdtl2019@gmail.com,www.umsdtl.com,"House # 30,Block # A, Word # 53, Diabari, Turag, Dhaka -1230",,
Universal IT,1711167756,yunushossainbd@gmail.com,www.universalit.net,"K-45/B, Moddhopara, Khilkhet",,
APPAREL SPECIALIST LIMITED,1746776301,hr@apparelspecialist.com,https://apparelspecialist.com,"House: 14, Block: D, Ceramic Road, Mirpur-12, Dhaka: 1207",,
Apparels Institute of Fashion & Technology -AIFT,,aiftinfo@gmail.com,www.aift.edu.bd,"Hossain Tower 4th floor, Plot #103,Uttara,Dhaka-1230",,
AREA71 VENTURE LIMITED,8598685,admin@area71bd.com,https://area71bd.com/,"House-01( Floor 06 & 07), Road-13, Sector-10, Uttara, Dhaka-1230",,
Arena Phone BD Ltd.,"01844054109, 029861858",bizdev@arena.com.bd,www.arena.com.bd,"Rupayan Center (6th Floor), 72 Mohakhali C/A, Dhaka - 1212",,
Arena Web Technology,8.80131E+12,info@arenawebsecurity.net,www.arenawebsecurity.net,"House: 1, Block: B, Main Road, Banasree, Rampura, Dhaka - 1219",,
ARITS LIMITED,N/A,ali.azam86@gmail.com,www.aritsltd.com,"House-375, Ground Floor, Road No-6/W, Baridhara DOHS , Dhaka",,
ARN Tech,8.80171E+12,info@arntechbd.com,www.arntechbd.com,"12th Floor Venus Complex, Kha-199/2-199/4 Bir Uttam Rafiqul Islam Ave Dhaka-1212",,
